Nr,t`s,Ch 00`V,Ch 01`V,Ch 02`V,Ch 03`V
941		,0.235000,-3.090820,-1.850586,0.106934,-0.146484
942		,0.235250,-2.895508,-1.752930,0.107422,-0.068359
943		,0.235500,-2.680664,-1.645508,0.107910,0.112305
944		,0.235750,-2.460938,-1.538086,0.105957,0.278320
945		,0.236000,-2.236328,-1.430664,0.106445,0.375977
946		,0.236250,-1.987305,-1.313477,0.106445,0.419922
947		,0.236500,-1.733398,-1.186523,0.107910,0.449219
948		,0.236750,-1.474609,-1.074219,0.108398,0.522461
949		,0.237000,-1.240234,-0.971680,0.109375,0.634766
950		,0.237250,-0.991211,-0.869141,0.109375,0.756836
951		,0.237500,-0.722656,-0.766602,0.111328,0.864258
952		,0.237750,-0.434570,-0.649414,0.109863,0.908203
953		,0.238000,-0.151367,-0.532227,0.108887,0.878906
954		,0.238250,0.122070,-0.419922,0.109375,0.805664
955		,0.238500,0.375977,-0.317383,0.110352,0.737305
956		,0.238750,0.615234,-0.224609,0.110840,0.722656
957		,0.239000,0.854492,-0.122070,0.110840,0.766602
958		,0.239250,1.123047,-0.029297,0.110352,0.893555
959		,0.239500,1.406250,0.039063,0.108887,0.932617
960		,0.239750,1.635742,0.112305,0.108887,0.898438
961		,0.240000,1.826172,0.195313,0.109863,0.878906
962		,0.240250,1.987305,0.283203,0.111816,0.869141
963		,0.240500,2.143555,0.390625,0.113281,0.844727
964		,0.240750,2.314453,0.502930,0.113770,0.844727
965		,0.241000,2.495117,0.610352,0.112793,0.908203
966		,0.241250,2.666016,0.703125,0.111328,1.030273
967		,0.241500,2.812500,0.791016,0.110840,1.049805
968		,0.241750,2.934570,0.883789,0.110352,0.937500
969		,0.242000,3.051758,0.986328,0.111328,0.742188
970		,0.242250,3.149414,1.093750,0.112793,0.600586
971		,0.242500,3.217773,1.201172,0.113281,0.551758
972		,0.242750,3.251953,1.293945,0.113770,0.556641
973		,0.243000,3.261719,1.367188,0.113281,0.561523
974		,0.243250,3.247070,1.445313,0.112793,0.566406
975		,0.243500,3.222656,1.528320,0.112305,0.532227
976		,0.243750,3.168945,1.606445,0.112305,0.449219
977		,0.244000,3.095703,1.669922,0.113770,0.366211
978		,0.244250,2.988281,1.728516,0.116211,0.327148
979		,0.244500,2.851563,1.782227,0.116699,0.307617
980		,0.244750,2.709961,1.840820,0.117676,0.214844
981		,0.245000,2.553711,1.899414,0.117676,0.053711
982		,0.245250,2.387695,1.948242,0.116699,-0.136719
983		,0.245500,2.207031,1.987305,0.115234,-0.317383
984		,0.245750,2.006836,2.011719,0.117188,-0.424805
985		,0.246000,1.782227,2.026367,0.116211,-0.454102
986		,0.246250,1.552734,2.041016,0.117188,-0.385742
987		,0.246500,1.362305,2.060547,0.118164,-0.400391
988		,0.246750,1.201172,2.089844,0.118652,-0.512695
989		,0.247000,1.025391,2.109375,0.117676,-0.605469
990		,0.247250,0.795898,2.124023,0.119141,-0.717773
991		,0.247500,0.517578,2.138672,0.118652,-0.805664
992		,0.247750,0.205078,2.172852,0.117188,-0.805664
993		,0.248000,-0.102539,2.211914,0.118652,-0.717773
994		,0.248250,-0.380859,2.250977,0.119141,-0.654297
995		,0.248500,-0.639648,2.275391,0.121094,-0.712891
996		,0.248750,-0.917969,2.299805,0.120117,-0.888672
997		,0.249000,-1.215820,2.324219,0.119141,-1.040039
998		,0.249250,-1.503906,2.338867,0.118652,-1.054688
999		,0.249500,-1.757813,2.333984,0.119141,-1.000977
1000		,0.249750,-1.977539,2.314453,0.119141,-0.927734
1001		,0.250000,-2.182617,2.285156,0.119629,-0.834961
1002		,0.250250,-2.382813,2.270508,0.120117,-0.781250
1003		,0.250500,-2.563477,2.260742,0.121582,-0.825195
1004		,0.250750,-2.719727,2.231445,0.122070,-0.859375
1005		,0.251000,-2.846680,2.182617,0.121582,-0.839844
1006		,0.251250,-2.958984,2.128906,0.121582,-0.791016
1007		,0.251500,-3.090820,2.084961,0.120605,-0.756836
1008		,0.251750,-3.212891,2.045898,0.121582,-0.781250
1009		,0.252000,-3.300781,1.997070,0.122070,-0.849609
1010		,0.252250,-3.349609,1.933594,0.123535,-0.913086
1011		,0.252500,-3.364258,1.860352,0.124023,-0.893555
1012		,0.252750,-3.349609,1.772461,0.123047,-0.791016
1013		,0.253000,-3.354492,1.699219,0.123535,-0.571289
1014		,0.253250,-3.403320,1.669922,0.123047,-0.468750
1015		,0.253500,-3.427734,1.650391,0.122559,-0.439453
1016		,0.253750,-3.408203,1.606445,0.122559,-0.405273
1017		,0.254000,-3.320313,1.528320,0.123047,-0.375977
1018		,0.254250,-3.173828,1.425781,0.123047,-0.327148
1019		,0.254500,-3.007813,1.333008,0.123047,-0.195313
1020		,0.254750,-2.851563,1.259766,0.122559,0.014648
1021		,0.255000,-2.709961,1.196289,0.122070,0.209961
1022		,0.255250,-2.553711,1.132813,0.122559,0.258789
1023		,0.255500,-2.363281,1.059570,0.125977,0.175781
1024		,0.255750,-2.158203,0.976563,0.125000,0.122070
1025		,0.256000,-1.948242,0.883789,0.126953,0.180664
1026		,0.256250,-1.738281,0.791016,0.125977,0.297852
1027		,0.256500,-1.513672,0.703125,0.128906,0.444336
1028		,0.256750,-1.274414,0.620117,0.126953,0.605469
1029		,0.257000,-1.025391,0.546875,0.125488,0.703125
1030		,0.257250,-0.795898,0.463867,0.125977,0.717773
1031		,0.257500,-0.546875,0.375977,0.126465,0.761719
1032		,0.257750,-0.297852,0.283203,0.126465,0.844727
1033		,0.258000,-0.029297,0.190430,0.126465,0.937500
1034		,0.258250,0.253906,0.102539,0.127441,0.947266
1035		,0.258500,0.532227,0.014648,0.126953,0.888672
1036		,0.258750,0.771484,-0.073242,0.126465,0.791016
1037		,0.259000,0.996094,-0.161133,0.125488,0.712891
1038		,0.259250,1.206055,-0.244141,0.128906,0.732422
1039		,0.259500,1.435547,-0.322266,0.129395,0.834961
1040		,0.259750,1.674805,-0.371094,0.129883,0.942383
1041		,0.260000,1.879883,-0.400391,0.129395,0.908203
1042		,0.260250,2.031250,-0.454102,0.129395,0.888672
1043		,0.260500,2.177734,-0.522461,0.129395,0.869141
1044		,0.260750,2.314453,-0.605469,0.129395,0.830078
1045		,0.261000,2.470703,-0.708008,0.130371,0.859375
