Nr		,t`s,Ch 00`V,Ch 01`V,Ch 02`V
128		,0.063500,-0.007238,0.202060,-0.000125
129		,0.064000,-0.008526,0.203911,-0.000157
130		,0.064500,-0.008365,0.205247,-0.000286
131		,0.065000,-0.008687,0.206519,-0.000125
132		,0.065500,-0.008848,0.207485,-0.000125
133		,0.066000,-0.008687,0.208548,-0.000125
134		,0.066500,-0.008365,0.209321,-0.000028
135		,0.067000,-0.008043,0.209707,0.000004
136		,0.067500,-0.006755,0.209578,-0.000607
137		,0.068000,-0.004983,0.209144,-0.000221
138		,0.068500,-0.003373,0.207646,-0.000318
139		,0.069000,-0.002568,0.206294,-0.000189
140		,0.069500,-0.002084,0.204378,-0.000092
141		,0.070000,-0.000635,0.202076,-0.000253
142		,0.070500,0.001458,0.200611,-0.000092
143		,0.071000,-0.001279,0.199468,-0.000092
144		,0.071500,-0.002890,0.199210,-0.000253
145		,0.072000,-0.003695,0.200112,-0.000092
146		,0.072500,-0.005144,0.200579,-0.000382
147		,0.073000,-0.006593,0.201609,-0.000060
148		,0.073500,-0.007560,0.202768,-0.000028
149		,0.074000,-0.007238,0.204217,0.000069
150		,0.074500,-0.007721,0.205408,0.000294
151		,0.075000,-0.007238,0.206439,-0.000286
152		,0.075500,-0.007882,0.207276,-0.000125
153		,0.076000,-0.007560,0.208258,-0.000028
154		,0.076500,-0.007721,0.209095,-0.000189
155		,0.077000,-0.007238,0.209337,-0.000189
156		,0.077500,-0.006916,0.209514,-0.000221
157		,0.078000,-0.005949,0.208902,-0.000253
158		,0.078500,-0.004983,0.207067,0.000101
159		,0.079000,-0.003534,0.205875,-0.000157
160		,0.079500,-0.002407,0.204088,0.000036
161		,0.080000,-0.000796,0.201738,0.000036
162		,0.080500,-0.000152,0.199403,0.000004
163		,0.081000,-0.002407,0.198099,-0.000092
164		,0.081500,-0.003373,0.197664,-0.000125
165		,0.082000,-0.005466,0.197922,-0.000221
166		,0.082500,-0.005466,0.199113,-0.000028
167		,0.083000,-0.006755,0.200707,-0.000253
168		,0.083500,-0.007882,0.202205,-0.000157
169		,0.084000,-0.009009,0.203911,-0.000125
170		,0.084500,-0.009170,0.205392,-0.000060
171		,0.085000,-0.008526,0.206761,-0.000189
172		,0.085500,-0.008687,0.207582,-0.000286
173		,0.086000,-0.008365,0.208451,-0.000125
174		,0.086500,-0.009009,0.209272,-0.000028
175		,0.087000,-0.007560,0.209933,-0.000189
176		,0.087500,-0.005788,0.209401,-0.000189
177		,0.088000,-0.005144,0.208870,-0.000253
178		,0.088500,-0.003695,0.207727,-0.000125
179		,0.089000,-0.002890,0.205940,-0.000286
180		,0.089500,-0.001440,0.204201,-0.000092
181		,0.090000,-0.000635,0.202092,-0.000221
182		,0.090500,-0.000474,0.199403,-0.000350
183		,0.091000,-0.001923,0.199130,-0.000253
184		,0.091500,-0.003373,0.199339,-0.000286
185		,0.092000,-0.003695,0.199113,-0.000221
186		,0.092500,-0.005305,0.200321,-0.000318
187		,0.093000,-0.006110,0.201545,-0.000157
188		,0.093500,-0.007560,0.202849,0.000004
189		,0.094000,-0.007560,0.204185,0.000133
190		,0.094500,-0.008204,0.205247,0.000230
191		,0.095000,-0.007721,0.206294,-0.000157
192		,0.095500,-0.008043,0.207373,-0.000286
193		,0.096000,-0.006593,0.208049,-0.000028
194		,0.096500,-0.007721,0.209063,-0.000125
195		,0.097000,-0.007560,0.209530,0.000133
196		,0.097500,-0.006916,0.209272,-0.000028
197		,0.098000,-0.005788,0.208725,-0.000125
198		,0.098500,-0.004822,0.207662,-0.000060
199		,0.099000,-0.003373,0.205843,0.000101
200		,0.099500,-0.002246,0.203911,-0.000157
201		,0.100000,-0.000474,0.201850,0.000069
202		,0.100500,-0.000152,0.199387,-0.000157
203		,0.101000,-0.001923,0.197970,-0.000157
204		,0.101500,-0.003051,0.197729,0.000004
205		,0.102000,-0.004822,0.199065,-0.000092
206		,0.102500,-0.005949,0.199113,-0.000157
207		,0.103000,-0.006432,0.200691,-0.000092
208		,0.103500,-0.007882,0.202333,-0.000092
209		,0.104000,-0.008526,0.204104,-0.000125
210		,0.104500,-0.009009,0.205489,-0.000189
211		,0.105000,-0.008204,0.206487,-0.000125
212		,0.105500,-0.008848,0.207727,-0.000189
213		,0.106000,-0.008526,0.208628,-0.000028
214		,0.106500,-0.008526,0.209192,-0.000157
215		,0.107000,-0.008204,0.209739,-0.000092
216		,0.107500,-0.006755,0.209514,-0.000092
217		,0.108000,-0.004983,0.208419,-0.000253
218		,0.108500,-0.003695,0.207566,-0.000318
219		,0.109000,-0.002729,0.206069,-0.000189
220		,0.109500,-0.001601,0.204298,-0.000157
221		,0.110000,-0.000313,0.201738,-0.000060
222		,0.110500,-0.000474,0.199967,-0.000125
223		,0.111000,-0.001762,0.199146,-0.000286
