Nr		,t`s,Ch 00`V,Ch 01`V,Ch 02`V
1107		,0.553000,-2.998794,0.198695,-0.354751
1108		,0.553500,-2.859175,0.199468,-0.347379
1109		,0.554000,-3.095094,0.200965,-0.347605
1110		,0.554500,-3.130844,0.202929,-0.351307
1111		,0.555000,-3.133099,0.204410,-0.354301
1112		,0.555500,-3.131972,0.206213,-0.356425
1113		,0.556000,-3.090424,0.207534,-0.357230
1114		,0.556500,-2.939855,0.207952,-0.353914
1115		,0.557000,-2.921336,0.207453,-0.346993
1116		,0.557500,-3.086076,0.207051,-0.347766
1117		,0.558000,-3.104434,0.206262,-0.349601
1118		,0.558500,-3.112647,0.205103,-0.352112
1119		,0.559000,-3.106045,0.203493,-0.353270
1120		,0.559500,-3.060471,0.201367,-0.353077
1121		,0.560000,-2.876406,0.198180,-0.347154
1122		,0.560500,-3.032612,0.197069,-0.342808
1123		,0.561000,-3.113613,0.196876,-0.345448
1124		,0.561500,-3.127463,0.197761,-0.348377
1125		,0.562000,-3.128751,0.198421,-0.351049
1126		,0.562500,-3.099120,0.199645,-0.352208
1127		,0.563000,-3.000244,0.201464,-0.350856
1128		,0.563500,-2.862396,0.203042,-0.344385
1129		,0.564000,-3.095094,0.204603,-0.344933
1130		,0.564500,-3.133743,0.206519,-0.348892
1131		,0.565000,-3.135837,0.207936,-0.351661
1132		,0.565500,-3.133421,0.209128,-0.353528
1133		,0.566000,-3.093967,0.210174,-0.354236
1134		,0.566500,-2.941948,0.210319,-0.350180
1135		,0.567000,-2.882043,0.210544,-0.343549
1136		,0.567500,-3.084627,0.209916,-0.343870
1137		,0.568000,-3.102502,0.209337,-0.346059
1138		,0.568500,-3.115868,0.207421,-0.347798
1139		,0.569000,-3.107333,0.205489,-0.349440
1140		,0.569500,-3.060954,0.202768,-0.348313
1141		,0.570000,-2.875118,0.199757,-0.342905
1142		,0.570500,-3.031002,0.197664,-0.339170
1143		,0.571000,-3.113291,0.197520,-0.342003
1144		,0.571500,-3.124564,0.197552,-0.344740
1145		,0.572000,-3.125852,0.198502,-0.347315
1146		,0.572500,-3.096221,0.199806,-0.347412
1147		,0.573000,-2.994768,0.200933,-0.346542
1148		,0.573500,-2.859336,0.202575,-0.338913
1149		,0.574000,-3.094128,0.203686,-0.339975
1150		,0.574500,-3.132938,0.204813,-0.343935
1151		,0.575000,-3.136642,0.206439,-0.346993
1152		,0.575500,-3.130683,0.208162,-0.348892
1153		,0.576000,-3.090585,0.208983,-0.349923
1154		,0.576500,-2.937439,0.209176,-0.345866
1155		,0.577000,-2.877695,0.209208,-0.339685
1156		,0.577500,-3.092034,0.208983,-0.340619
1157		,0.578000,-3.106528,0.207872,-0.342969
1158		,0.578500,-3.118928,0.206503,-0.344868
1159		,0.579000,-3.110393,0.204555,-0.345544
1160		,0.579500,-3.060149,0.201625,-0.345448
1161		,0.580000,-2.874796,0.198630,-0.339750
1162		,0.580500,-3.020373,0.195958,-0.336402
1163		,0.581000,-3.115385,0.196071,-0.338752
1164		,0.581500,-3.126657,0.196859,-0.342132
1165		,0.582000,-3.126979,0.197391,-0.344868
1166		,0.582500,-3.097832,0.198952,-0.346220
1167		,0.583000,-2.995896,0.200240,-0.344192
1168		,0.583500,-2.858853,0.201400,-0.337303
1169		,0.584000,-3.097510,0.202881,-0.338494
1170		,0.584500,-3.133099,0.204491,-0.342872
1171		,0.585000,-3.135514,0.205730,-0.345287
1172		,0.585500,-3.132455,0.206358,-0.346896
1173		,0.586000,-3.091873,0.207405,-0.348055
1174		,0.586500,-2.935990,0.207437,-0.343999
1175		,0.587000,-2.904266,0.206713,-0.337335
1176		,0.587500,-3.091551,0.206085,-0.338366
1177		,0.588000,-3.106689,0.204700,-0.340201
1178		,0.588500,-3.119250,0.203058,-0.342357
1179		,0.589000,-3.109265,0.200836,-0.343355
1180		,0.589500,-3.058539,0.198840,-0.342583
1181		,0.590000,-2.875762,0.196376,-0.337496
1182		,0.590500,-3.018441,0.194477,-0.333569
1183		,0.591000,-3.116190,0.193897,-0.336144
1184		,0.591500,-3.126496,0.194525,-0.338945
1185		,0.592000,-3.126979,0.194960,-0.341488
1186		,0.592500,-3.097349,0.196119,-0.342325
1187		,0.593000,-2.990259,0.197777,-0.340522
1188		,0.593500,-2.857404,0.198872,-0.334631
1189		,0.594000,-3.097510,0.200917,-0.334889
1190		,0.594500,-3.135514,0.202816,-0.338881
1191		,0.595000,-3.137769,0.204217,-0.341424
1192		,0.595500,-3.132294,0.205408,-0.343452
1193		,0.596000,-3.089619,0.206439,-0.343903
1194		,0.596500,-2.931481,0.207340,-0.340007
1195		,0.597000,-2.935829,0.206938,-0.333762
1196		,0.597500,-3.095738,0.206664,-0.335018
1197		,0.598000,-3.107494,0.205457,-0.336917
1198		,0.598500,-3.123437,0.204072,-0.338881
1199		,0.599000,-3.110554,0.202253,-0.340104
1200		,0.599500,-3.058056,0.199967,-0.338977
1201		,0.600000,-2.873991,0.196731,-0.333247
1202		,0.600500,-3.021983,0.195024,-0.329642
1203		,0.601000,-3.116673,0.195105,-0.332603
1204		,0.601500,-3.128590,0.195926,-0.335404
1205		,0.602000,-3.131811,0.196731,-0.337915
1206		,0.602500,-3.099764,0.198518,-0.339460
1207		,0.603000,-2.989937,0.199613,-0.337722
1208		,0.603500,-2.861430,0.201416,-0.331058
1209		,0.604000,-3.102180,0.203364,-0.332024
1210		,0.604500,-3.135031,0.205264,-0.335822
1211		,0.605000,-3.138574,0.206423,-0.338333
1212		,0.605500,-3.134870,0.207308,-0.340361
1213		,0.606000,-3.092840,0.208113,-0.340522
1214		,0.606500,-2.931803,0.208387,-0.336241
1215		,0.607000,-2.983657,0.207920,-0.330189
1216		,0.607500,-3.097832,0.206664,-0.330736
1217		,0.608000,-3.108621,0.205199,-0.333054
1218		,0.608500,-3.121826,0.204137,-0.335146
1219		,0.609000,-3.107011,0.202189,-0.335758
1220		,0.609500,-3.055479,0.200096,-0.335629
1221		,0.610000,-2.873347,0.197503,-0.328933
1222		,0.610500,-3.025526,0.196811,-0.326165
1223		,0.611000,-3.115707,0.196264,-0.328772
1224		,0.611500,-3.129073,0.196843,-0.331219
1225		,0.612000,-3.127785,0.197745,-0.333891
1226		,0.612500,-3.094289,0.199210,-0.335211
1227		,0.613000,-2.986072,0.200385,-0.333376
1228		,0.613500,-2.866422,0.201094,-0.326261
1229		,0.614000,-3.102502,0.202575,-0.327903
1230		,0.614500,-3.135675,0.204362,-0.331959
1231		,0.615000,-3.138896,0.205360,-0.334857
1232		,0.615500,-3.133743,0.206713,-0.337818
1233		,0.616000,-3.090746,0.207614,-0.337915
1234		,0.616500,-2.926167,0.208065,-0.332893
1235		,0.617000,-3.010872,0.208017,-0.327002
1236		,0.617500,-3.097027,0.207984,-0.327968
1237		,0.618000,-3.110232,0.206809,-0.330318
1238		,0.618500,-3.122954,0.205473,-0.332668
1239		,0.619000,-3.108782,0.203766,-0.333987
1240		,0.619500,-3.055640,0.201496,-0.334213
1241		,0.620000,-2.874957,0.198180,-0.328032
1242		,0.620500,-3.036638,0.195942,-0.325038
1243		,0.621000,-3.115063,0.196682,-0.328579
1244		,0.621500,-3.130844,0.196409,-0.331219
1245		,0.622000,-3.129556,0.197053,-0.333537
1246		,0.622500,-3.097671,0.198550,-0.334824
1247		,0.623000,-2.984140,0.199629,-0.333247
1248		,0.623500,-2.943559,0.199806,-0.326551
1249		,0.624000,-3.106689,0.201416,-0.327227
1250		,0.624500,-3.136159,0.203251,-0.330929
1251		,0.625000,-3.138735,0.203927,-0.333247
1252		,0.625500,-3.134548,0.204845,-0.335822
1253		,0.626000,-3.089780,0.206052,-0.336563
1254		,0.626500,-2.924234,0.206455,-0.331895
1255		,0.627000,-3.032451,0.206423,-0.325682
1256		,0.627500,-3.098476,0.205924,-0.326133
1257		,0.628000,-3.107977,0.205199,-0.329030
1258		,0.628500,-3.121343,0.203702,-0.331122
1259		,0.629000,-3.108621,0.201303,-0.331863
1260		,0.629500,-3.054996,0.199258,-0.331509
1261		,0.630000,-2.870931,0.197326,-0.325392
1262		,0.630500,-3.045334,0.197069,-0.322173
1263		,0.631000,-3.116190,0.196425,-0.325746
1264		,0.631500,-3.130200,0.197165,-0.328805
1265		,0.632000,-3.129878,0.198147,-0.330543
1266		,0.632500,-3.096382,0.199564,-0.331187
1267		,0.633000,-2.980436,0.201239,-0.329803
1268		,0.633500,-2.968519,0.202961,-0.323525
1269		,0.634000,-3.110554,0.203155,-0.324652
1270		,0.634500,-3.135192,0.205054,-0.328676
1271		,0.635000,-3.138091,0.206713,-0.331090
1272		,0.635500,-3.133421,0.207518,-0.333183
1273		,0.636000,-3.085754,0.208435,-0.333247
1274		,0.636500,-2.917793,0.208870,-0.329030
1275		,0.637000,-3.042918,0.208645,-0.322946
1276		,0.637500,-3.100892,0.208435,-0.323750
1277		,0.638000,-3.112325,0.207357,-0.325843
1278		,0.638500,-3.121826,0.205956,-0.327807
1279		,0.639000,-3.109426,0.203847,-0.328740
1280		,0.639500,-3.054030,0.201609,-0.328290
1281		,0.640000,-2.871736,0.198357,-0.322012
1282		,0.640500,-3.056445,0.196602,-0.318696
1283		,0.641000,-3.119572,0.197214,-0.321883
1284		,0.641500,-3.132938,0.197487,-0.324652
1285		,0.642000,-3.132777,0.198244,-0.327420
1286		,0.642500,-3.097671,0.199613,-0.328193
1287		,0.643000,-2.978665,0.200659,-0.326036
1288		,0.643500,-3.052419,0.201995,-0.320177
1289		,0.644000,-3.113613,0.203686,-0.320918
1290		,0.644500,-3.138091,0.204732,-0.325038
1291		,0.645000,-3.139701,0.206696,-0.327710
1292		,0.645500,-3.135998,0.208435,-0.329996
1293		,0.646000,-3.089619,0.209353,-0.329867
1294		,0.646500,-2.918276,0.209272,-0.325843
1295		,0.647000,-3.024560,0.209160,-0.319726
1296		,0.647500,-3.098315,0.208612,-0.320435
1297		,0.648000,-3.109426,0.207276,-0.322141
1298		,0.648500,-3.119411,0.205714,-0.324330
1299		,0.649000,-3.108460,0.204201,-0.325746
1300		,0.649500,-3.053547,0.201271,-0.325102
1301		,0.650000,-2.872703,0.199790,-0.319115
1302		,0.650500,-3.063048,0.198083,-0.316990
1303		,0.651000,-3.119733,0.197600,-0.319920
1304		,0.651500,-3.131650,0.197842,-0.322752
1305		,0.652000,-3.131005,0.198775,-0.325070
1306		,0.652500,-3.094772,0.199999,-0.326197
1307		,0.653000,-2.976249,0.200949,-0.323364
1308		,0.653500,-3.082050,0.201416,-0.317505
1309		,0.654000,-3.119089,0.202688,-0.318857
1310		,0.654500,-3.135353,0.203573,-0.322237
1311		,0.655000,-3.139862,0.203992,-0.325746
1312		,0.655500,-3.132938,0.205489,-0.327742
1313		,0.656000,-3.083983,0.206825,-0.327935
1314		,0.656500,-2.912156,0.206809,-0.323557
1315		,0.657000,-3.014415,0.206568,-0.318085
1316		,0.657500,-3.100730,0.206246,-0.319340
1317		,0.658000,-3.114419,0.204797,-0.320789
1318		,0.658500,-3.120699,0.203364,-0.323074
1319		,0.659000,-3.111359,0.201528,-0.324072
1320		,0.659500,-3.051131,0.199033,-0.323525
1321		,0.660000,-2.871897,0.195217,-0.317505
1322		,0.660500,-3.067718,0.193962,-0.314801
1323		,0.661000,-3.119089,0.194412,-0.318503
1324		,0.661500,-3.133904,0.194911,-0.321272
1325		,0.662000,-3.129395,0.195411,-0.323589
1326		,0.662500,-3.096705,0.196634,-0.324652
1327		,0.663000,-2.975766,0.197874,-0.322495
1328		,0.663500,-3.069167,0.199999,-0.315799
1329		,0.664000,-3.118445,0.201158,-0.317183
1330		,0.664500,-3.137286,0.202913,-0.321111
1331		,0.665000,-3.142600,0.204652,-0.323589
1332		,0.665500,-3.134065,0.206036,-0.326004
1333		,0.666000,-3.085432,0.207518,-0.326133
1334		,0.666500,-2.911512,0.208001,-0.321529
1335		,0.667000,-2.982207,0.208049,-0.316024
1336		,0.667500,-3.099442,0.207501,-0.317344
1337		,0.668000,-3.111198,0.206890,-0.319533
1338		,0.668500,-3.118445,0.205215,-0.321433
1339		,0.669000,-3.110071,0.203203,-0.322398
1340		,0.669500,-3.049038,0.200579,-0.321626
1341		,0.670000,-2.867871,0.198421,-0.315091
1342		,0.670500,-3.071905,0.196666,-0.312612
1343		,0.671000,-3.121665,0.196602,-0.315509
1344		,0.671500,-3.134870,0.197085,-0.318213
1345		,0.672000,-3.130200,0.198147,-0.321046
1346		,0.672500,-3.095738,0.199564,-0.321626
1347		,0.673000,-2.972706,0.200691,-0.319018
1348		,0.673500,-3.084466,0.202044,-0.313385
1349		,0.674000,-3.120055,0.203798,-0.314286
1350		,0.674500,-3.137286,0.204668,-0.317924
1351		,0.675000,-3.142600,0.206069,-0.320628
1352		,0.675500,-3.135998,0.207389,-0.322559
1353		,0.676000,-3.083500,0.208419,-0.323107
1354		,0.676500,-2.906037,0.208532,-0.317924
1355		,0.677000,-2.968358,0.207598,-0.312644
1356		,0.677500,-3.101858,0.206761,-0.313900
1357		,0.678000,-3.112164,0.205537,-0.315799
1358		,0.678500,-3.121504,0.204362,-0.317376
1359		,0.679000,-3.111681,0.202382,-0.318503
1360		,0.679500,-3.050326,0.199403,-0.317087
1361		,0.680000,-2.869482,0.196731,-0.311228
1362		,0.680500,-3.070133,0.194509,-0.308749
1363		,0.681000,-3.122954,0.194847,-0.311936
1364		,0.681500,-3.135192,0.195346,-0.314704
1365		,0.682000,-3.128751,0.196312,-0.317280
1366		,0.682500,-3.097671,0.198051,-0.318052
1367		,0.683000,-2.972384,0.199274,-0.315509
1368		,0.683500,-3.003625,0.201400,-0.309779
1369		,0.684000,-3.121987,0.203058,-0.310809
1370		,0.684500,-3.138896,0.204620,-0.315638
1371		,0.685000,-3.144855,0.206149,-0.318052
1372		,0.685500,-3.135837,0.207051,-0.319759
1373		,0.686000,-3.084788,0.208194,-0.319855
1374		,0.686500,-2.902655,0.208564,-0.315316
1375		,0.687000,-2.953060,0.208242,-0.310198
1376		,0.687500,-3.101536,0.207630,-0.311646
1377		,0.688000,-3.112164,0.206197,-0.314125
1378		,0.688500,-3.121504,0.204700,-0.316475
1379		,0.689000,-3.110232,0.202704,-0.316990
1380		,0.689500,-3.046300,0.200369,-0.316572
1381		,0.690000,-2.869804,0.196715,-0.310648
1382		,0.690500,-3.070617,0.196457,-0.308202
1383		,0.691000,-3.121987,0.196457,-0.311357
1384		,0.691500,-3.135192,0.196554,-0.314061
1385		,0.692000,-3.128912,0.197568,-0.316539
1386		,0.692500,-3.095738,0.198308,-0.318085
1387		,0.693000,-2.967231,0.199194,-0.314704
1388		,0.693500,-2.988488,0.199693,-0.308846
1389		,0.694000,-3.119089,0.200981,-0.310552
1390		,0.694500,-3.137930,0.201850,-0.314189
1391		,0.695000,-3.146143,0.202881,-0.317280
1392		,0.695500,-3.133421,0.204104,-0.318793
1393		,0.696000,-3.083338,0.204974,-0.319469
1394		,0.696500,-2.900240,0.205135,-0.314157
1395		,0.697000,-2.956764,0.204990,-0.308073
1396		,0.697500,-3.106045,0.205038,-0.309811
1397		,0.698000,-3.114580,0.204330,-0.312354
1398		,0.698500,-3.126174,0.203573,-0.313932
1399		,0.699000,-3.111037,0.201464,-0.315316
1400		,0.699500,-3.045334,0.199323,-0.314576
1401		,0.700000,-2.868677,0.196666,-0.307880
1402		,0.700500,-3.066752,0.194734,-0.306399
1403		,0.701000,-3.121504,0.195394,-0.309683
1404		,0.701500,-3.134065,0.196215,-0.312387
1405		,0.702000,-3.130039,0.197552,-0.314061
1406		,0.702500,-3.095738,0.199033,-0.315123
1407		,0.703000,-2.967392,0.200546,-0.312483
1408		,0.703500,-2.929870,0.202317,-0.306689
1409		,0.704000,-3.121826,0.203364,-0.308556
1410		,0.704500,-3.138413,0.205119,-0.312290
1411		,0.705000,-3.149525,0.206938,-0.314898
1412		,0.705500,-3.136159,0.207775,-0.316861
1413		,0.706000,-3.083661,0.208950,-0.317022
1414		,0.706500,-2.899274,0.209611,-0.311775
1415		,0.707000,-2.967392,0.209192,-0.306141
1416		,0.707500,-3.105884,0.208677,-0.307751
1417		,0.708000,-3.116190,0.208226,-0.309554
1418		,0.708500,-3.125691,0.206391,-0.311196
1419		,0.709000,-3.110393,0.204120,-0.312870
1420		,0.709500,-3.046300,0.201367,-0.311196
1421		,0.710000,-2.869160,0.198486,-0.304854
1422		,0.710500,-3.066752,0.197117,-0.303534
1423		,0.711000,-3.122470,0.196570,-0.306367
1424		,0.711500,-3.135837,0.197004,-0.309167
1425		,0.712000,-3.130200,0.198647,-0.310391
1426		,0.712500,-3.094772,0.199918,-0.311614
1427		,0.713000,-2.962400,0.200981,-0.308813
1428		,0.713500,-2.914894,0.201673,-0.303148
1429		,0.714000,-3.123759,0.203316,-0.305240
1430		,0.714500,-3.139057,0.205119,-0.308974
1431		,0.715000,-3.150974,0.206552,-0.311646
1432		,0.715500,-3.135031,0.207646,-0.313546
1433		,0.716000,-3.082855,0.209015,-0.314093
1434		,0.716500,-2.892993,0.208741,-0.309039
1435		,0.717000,-2.985106,0.208709,-0.304017
1436		,0.717500,-3.108782,0.207711,-0.305111
1437		,0.718000,-3.119572,0.206342,-0.307204
1438		,0.718500,-3.128429,0.204491,-0.309650
1439		,0.719000,-3.109587,0.202124,-0.310165
1440		,0.719500,-3.042113,0.199725,-0.309328
1441		,0.720000,-2.867710,0.196425,-0.302987
1442		,0.720500,-3.071100,0.195185,-0.301667
1443		,0.721000,-3.124564,0.194960,-0.304983
1444		,0.721500,-3.135998,0.195539,-0.307461
1445		,0.722000,-3.131005,0.196393,-0.309972
1446		,0.722500,-3.094772,0.197584,-0.311067
1447		,0.723000,-2.959984,0.198856,-0.308459
1448		,0.723500,-2.915860,0.200434,-0.302665
1449		,0.724000,-3.126174,0.201464,-0.304628
1450		,0.724500,-3.139057,0.202768,-0.308137
1451		,0.725000,-3.152262,0.203477,-0.310326
1452		,0.725500,-3.138735,0.204442,-0.312580
1453		,0.726000,-3.082855,0.204877,-0.312451
1454		,0.726500,-2.893637,0.205038,-0.307493
1455		,0.727000,-3.012643,0.204845,-0.302600
1456		,0.727500,-3.109104,0.204040,-0.303952
1457		,0.728000,-3.116029,0.202816,-0.306109
1458		,0.728500,-3.126013,0.201271,-0.307622
1459		,0.729000,-3.108621,0.199677,-0.308330
1460		,0.729500,-3.041147,0.197391,-0.307719
1461		,0.730000,-2.868677,0.195604,-0.300798
1462		,0.730500,-3.071583,0.195024,-0.300025
1463		,0.731000,-3.123276,0.195040,-0.302439
1464		,0.731500,-3.135353,0.195813,-0.305369
1465		,0.732000,-3.129395,0.196924,-0.307558
1466		,0.732500,-3.092679,0.198325,-0.308588
1467		,0.733000,-2.954670,0.199935,-0.305948
1468		,0.733500,-2.911512,0.200723,-0.299896
1469		,0.734000,-3.128429,0.202382,-0.302472
1470		,0.734500,-3.139540,0.203412,-0.305562
1471		,0.735000,-3.152423,0.204491,-0.308330
1472		,0.735500,-3.135837,0.205811,-0.309618
1473		,0.736000,-3.079796,0.206938,-0.309683
1474		,0.736500,-2.890255,0.207099,-0.304532
1475		,0.737000,-3.026976,0.206874,-0.299928
1476		,0.737500,-3.110071,0.206552,-0.301474
1477		,0.738000,-3.118767,0.205425,-0.303598
1478		,0.738500,-3.128107,0.204281,-0.304918
1479		,0.739000,-3.110554,0.202189,-0.305820
1480		,0.739500,-3.044207,0.199870,-0.304854
1481		,0.740000,-2.870126,0.197214,-0.297868
1482		,0.740500,-3.077702,0.195282,-0.296741
1483		,0.741000,-3.123920,0.195523,-0.299606
1484		,0.741500,-3.138896,0.195781,-0.302278
1485		,0.742000,-3.130683,0.196151,-0.305015
1486		,0.742500,-3.093967,0.197729,-0.305787
1487		,0.743000,-2.954992,0.199419,-0.302858
1488		,0.743500,-2.972223,0.200868,-0.297289
1489		,0.744000,-3.130683,0.202639,-0.299091
1490		,0.744500,-3.142761,0.204346,-0.302536
1491		,0.745000,-3.152101,0.205666,-0.304403
1492		,0.745500,-3.137125,0.205956,-0.306624
1493		,0.746000,-3.078668,0.207469,-0.306656
1494		,0.746500,-2.892349,0.207437,-0.301828
1495		,0.747000,-3.041308,0.206777,-0.296677
1496		,0.747500,-3.109426,0.206455,-0.298769
1497		,0.748000,-3.118445,0.205634,-0.301248
1498		,0.748500,-3.128912,0.204249,-0.303244
1499		,0.749000,-3.110071,0.202189,-0.304081
1500		,0.749500,-3.040503,0.200128,-0.302182
1501		,0.750000,-2.867549,0.197825,-0.295389
1502		,0.750500,-3.082533,0.197552,-0.294939
1503		,0.751000,-3.125047,0.197262,-0.298383
1504		,0.751500,-3.137447,0.198019,-0.301216
1505		,0.752000,-3.129073,0.199226,-0.304628
1506		,0.752500,-3.091390,0.200079,-0.304661
1507		,0.753000,-2.951127,0.201464,-0.302504
1508		,0.753500,-2.988649,0.202462,-0.296935
1509		,0.754000,-3.132938,0.203541,-0.299542
1510		,0.754500,-3.141312,0.204169,-0.302793
1511		,0.755000,-3.149203,0.205231,-0.305498
1512		,0.755500,-3.135675,0.205682,-0.307365
1513		,0.756000,-3.076575,0.205875,-0.306978
1514		,0.756500,-2.891383,0.205924,-0.301023
1515		,0.757000,-3.046461,0.205473,-0.297128
1516		,0.757500,-3.110554,0.205022,-0.299124
1517		,0.758000,-3.120055,0.203976,-0.300701
1518		,0.758500,-3.128912,0.203171,-0.301860
1519		,0.759000,-3.109749,0.200820,-0.303341
1520		,0.759500,-3.035511,0.198469,-0.302278
1521		,0.760000,-2.865939,0.195314,-0.295100
1522		,0.760500,-3.087042,0.193688,-0.294649
1523		,0.761000,-3.127141,0.194638,-0.298222
1524		,0.761500,-3.136803,0.195314,-0.300701
1525		,0.762000,-3.130522,0.196747,-0.303405
1526		,0.762500,-3.093323,0.198518,-0.303856
1527		,0.763000,-2.949678,0.200353,-0.300089
1528		,0.763500,-3.032934,0.201706,-0.295454
1529		,0.764000,-3.134870,0.204120,-0.297707
1530		,0.764500,-3.142439,0.205457,-0.301409
1531		,0.765000,-3.150008,0.206552,-0.304049
1532		,0.765500,-3.136964,0.207807,-0.305594
1533		,0.766000,-3.078346,0.208258,-0.305626
1534		,0.766500,-2.892349,0.208065,-0.299735
1535		,0.767000,-3.039053,0.208500,-0.295582
1536		,0.767500,-3.109104,0.207695,-0.296838
1537		,0.768000,-3.120055,0.206922,-0.298673
1538		,0.768500,-3.126657,0.205473,-0.300508
1539		,0.769000,-3.109426,0.203895,-0.301345
1540		,0.769500,-3.035672,0.201480,-0.300186
1541		,0.770000,-2.866100,0.198840,-0.293071
1542		,0.770500,-3.093645,0.198389,-0.292170
1543		,0.771000,-3.125530,0.198260,-0.295293
1544		,0.771500,-3.136964,0.199146,-0.298254
1545		,0.772000,-3.130039,0.199274,-0.299961
1546		,0.772500,-3.093001,0.200321,-0.300669
1547		,0.773000,-2.940982,0.201802,-0.297385
1548		,0.773500,-3.049521,0.202768,-0.292556
1549		,0.774000,-3.134870,0.204314,-0.294681
1550		,0.774500,-3.142439,0.205843,-0.298512
1551		,0.775000,-3.147914,0.207759,-0.300701
1552		,0.775500,-3.131650,0.207984,-0.302504
1553		,0.776000,-3.074965,0.208870,-0.302278
1554		,0.776500,-2.890094,0.208902,-0.296902
1555		,0.777000,-3.032934,0.209192,-0.291977
1556		,0.777500,-3.109910,0.208017,-0.293973
1557		,0.778000,-3.121826,0.206519,-0.296194
1558		,0.778500,-3.128590,0.205151,-0.298093
1559		,0.779000,-3.107977,0.203058,-0.299381
1560		,0.779500,-3.033256,0.200804,-0.297932
1561		,0.780000,-2.863523,0.196908,-0.290786
1562		,0.780500,-3.095899,0.195572,-0.290786
1563		,0.781000,-3.128590,0.195845,-0.293007
1564		,0.781500,-3.141473,0.195652,-0.296098
1565		,0.782000,-3.132616,0.197069,-0.298512
1566		,0.782500,-3.092034,0.198003,-0.299317
1567		,0.783000,-2.940338,0.199645,-0.296806
1568		,0.783500,-3.048716,0.201512,-0.291623
1569		,0.784000,-3.136964,0.202929,-0.293908
1570		,0.784500,-3.140185,0.204008,-0.297546
1571		,0.785000,-3.147914,0.205376,-0.300282
1572		,0.785500,-3.135514,0.206197,-0.301377
1573		,0.786000,-3.073032,0.206584,-0.301699
1574		,0.786500,-2.890900,0.206874,-0.295550
1575		,0.787000,-3.020051,0.206181,-0.291816
1576		,0.787500,-3.110071,0.205489,-0.293522
1577		,0.788000,-3.119894,0.204684,-0.295904
1578		,0.788500,-3.127302,0.202994,-0.297707
1579		,0.789000,-3.106850,0.201029,-0.298480
1580		,0.789500,-3.029391,0.198469,-0.296935
1581		,0.790000,-2.862074,0.196215,-0.289981
1582		,0.790500,-3.096221,0.195105,-0.289176
1583		,0.791000,-3.126818,0.195105,-0.292750
1584		,0.791500,-3.138735,0.196103,-0.295357
1585		,0.792000,-3.129073,0.197439,-0.298126
1586		,0.792500,-3.090424,0.199097,-0.298737
1587		,0.793000,-2.935185,0.200579,-0.295067
1588		,0.793500,-3.060632,0.201625,-0.290400
1589		,0.794000,-3.138091,0.203734,-0.292750
1590		,0.794500,-3.142117,0.205119,-0.295647
1591		,0.795000,-3.146143,0.206535,-0.298641
1592		,0.795500,-3.136481,0.207212,-0.300347
1593		,0.796000,-3.072871,0.207308,-0.300057
1594		,0.796500,-2.889128,0.207582,-0.294552
1595		,0.797000,-3.017313,0.207518,-0.290078
1596		,0.797500,-3.113291,0.206954,-0.291913
1597		,0.798000,-3.123759,0.205682,-0.293941
1598		,0.798500,-3.129717,0.204491,-0.295743
1599		,0.799000,-3.106528,0.202028,-0.296355
1600		,0.799500,-3.027298,0.200047,-0.294424
1601		,0.800000,-2.863684,0.197165,-0.287245
1602		,0.800500,-3.098154,0.195877,-0.287116
1603		,0.801000,-3.127624,0.196135,-0.290367
1604		,0.801500,-3.143405,0.197020,-0.293297
1605		,0.802000,-3.132133,0.197809,-0.295325
1606		,0.802500,-3.089941,0.198969,-0.295872
1607		,0.803000,-2.933896,0.200418,-0.292428
1608		,0.803500,-3.026492,0.201561,-0.287116
1609		,0.804000,-3.137447,0.203428,-0.290045
1610		,0.804500,-3.145016,0.204748,-0.292846
1611		,0.805000,-3.151618,0.205763,-0.295550
1612		,0.805500,-3.138896,0.206471,-0.297128
1613		,0.806000,-3.073354,0.207018,-0.296709
1614		,0.806500,-2.891866,0.206986,-0.291076
1615		,0.807000,-3.013932,0.206954,-0.287309
1616		,0.807500,-3.112003,0.206584,-0.288951
1617		,0.808000,-3.121987,0.205634,-0.290915
1618		,0.808500,-3.126657,0.203943,-0.292750
1619		,0.809000,-3.105239,0.202398,-0.293393
1620		,0.809500,-3.025687,0.200015,-0.292170
1621		,0.810000,-2.859981,0.197584,-0.284734
1622		,0.810500,-3.101536,0.197085,-0.284927
1623		,0.811000,-3.128590,0.197777,-0.287856
1624		,0.811500,-3.142600,0.197729,-0.291301
1625		,0.812000,-3.132938,0.198985,-0.293136
1626		,0.812500,-3.086881,0.200160,-0.294456
1627		,0.813000,-2.928260,0.201078,-0.291301
1628		,0.813500,-3.021339,0.201899,-0.286697
1629		,0.814000,-3.140507,0.202913,-0.289337
1630		,0.814500,-3.142600,0.204137,-0.292911
1631		,0.815000,-3.149042,0.205730,-0.295228
1632		,0.815500,-3.135192,0.205972,-0.297224
1633		,0.816000,-3.066108,0.206616,-0.296580
1634		,0.816500,-2.888806,0.206455,-0.290625
1635		,0.817000,-3.014254,0.205360,-0.286569
1636		,0.817500,-3.114097,0.204974,-0.288307
1637		,0.818000,-3.123920,0.203235,-0.290689
1638		,0.818500,-3.128107,0.201528,-0.292943
1639		,0.819000,-3.109749,0.199693,-0.293071
1640		,0.819500,-3.024560,0.197407,-0.291816
1641		,0.820000,-2.861108,0.194477,-0.284380
1642		,0.820500,-3.098798,0.193028,-0.284315
1643		,0.821000,-3.126979,0.193801,-0.287663
