Nr,t`s,Ch 00`V,Ch 01`V,Ch 02`V
116		,0.057500,-2.629216,-0.000414,0.341083
117		,0.058000,-2.092161,-0.000640,0.341566
118		,0.058500,-1.513722,-0.000607,0.341566
119		,0.059000,-0.942853,-0.000929,0.341727
120		,0.059500,-0.342191,-0.000897,0.341727
121		,0.060000,0.270066,-0.001187,0.342049
122		,0.060500,0.890700,-0.000897,0.342049
123		,0.061000,1.439676,-0.000897,0.342693
124		,0.061500,1.948718,-0.001090,0.343337
125		,0.062000,2.433448,-0.000994,0.343820
126		,0.062500,2.915122,-0.001090,0.344464
127		,0.063000,3.313864,-0.000897,0.345914
128		,0.063500,3.590698,-0.000962,0.347041
129		,0.064000,3.738376,-0.000833,0.346880
130		,0.064500,3.805371,-0.000607,0.347202
131		,0.065000,3.822603,-0.000446,0.346719
132		,0.065500,3.792810,-0.000350,0.346236
133		,0.066000,3.712287,-0.000607,0.346719
134		,0.066500,3.462507,-0.000286,0.346397
135		,0.067000,3.038319,-0.000060,0.345914
136		,0.067500,2.514129,0.000036,0.345753
137		,0.068000,1.971103,0.000197,0.345914
138		,0.068500,1.389432,0.000101,0.345914
139		,0.069000,0.823708,0.000519,0.345914
140		,0.069500,0.206296,0.000712,0.346880
141		,0.070000,-0.391790,0.000551,0.347363
142		,0.070500,-1.007428,0.000519,0.347524
143		,0.071000,-1.544641,0.000841,0.348329
144		,0.071500,-2.047071,0.000712,0.348973
145		,0.072000,-2.531628,0.000487,0.349135
146		,0.072500,-2.993158,0.000712,0.349296
147		,0.073000,-3.383029,0.000616,0.349618
148		,0.073500,-3.627323,0.000584,0.349779
149		,0.074000,-3.773223,0.000712,0.349940
150		,0.074500,-3.836028,0.000519,0.350423
151		,0.075000,-3.838605,0.000423,0.350745
152		,0.075500,-3.806719,0.000294,0.350745
153		,0.076000,-3.680465,-0.000318,0.350745
154		,0.076500,-3.411210,-0.000189,0.351067
155		,0.077000,-2.960790,-0.000189,0.351550
156		,0.077500,-2.448533,-0.000575,0.351872
157		,0.078000,-1.905360,-0.000511,0.352677
158		,0.078500,-1.313072,-0.000768,0.352838
